date,time,hospital_id,hospital_name,emirate,hospital_type,day_of_week,is_weekend,is_public_holiday,month,day_of_year,temperature_C,humidity_pct,expected_visits,daily_ER_visits,critical_cases,prev_day_visits,ma_7,ma_14,dow_num,day_sin,day_cos,lag_1,lag_2,lag_3,lag_7,lag_14,is_holiday,days_since_hol,days_to_next_hol
2022-01-15,18:22:42,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,1,15,28.0,68.3,140.6,54,3,158,118.42857142857143,136.57142857142858,5,0.2551824131233728,0.9668929289391521,158.0,77.0,137.0,114.0,73.0,0,14,172
2022-01-16,22:57:58,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,1,16,28.7,50.3,142.8,128,18,54,121.28571428571429,137.64285714285714,6,0.2717767384711357,0.9623603298276545,54.0,158.0,77.0,108.0,113.0,0,15,171
2022-01-17,12:49:51,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,1,17,29.3,49.6,129.0,257,16,128,132.0,146.5,0,0.2882906407095177,0.9575429528116719,128.0,54.0,158.0,182.0,133.0,0,16,170
2022-01-18,08:53:42,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,1,18,31.8,48.6,134.5,68,6,257,125.57142857142857,137.0,1,0.3047192331091634,0.9524422234305676,257.0,128.0,54.0,113.0,201.0,0,17,169
2022-01-19,20:46:15,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,1,19,29.8,42.4,131.1,90,4,68,118.85714285714286,133.0,2,0.321057654185271,0.9470596510722283,68.0,257.0,128.0,137.0,146.0,0,18,168
2022-01-20,13:24:30,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,1,20,31.2,51.9,134.2,13,0,90,109.71428571428571,117.21428571428571,3,0.3373010691361842,0.9413968285264122,90.0,68.0,257.0,77.0,234.0,0,19,167
2022-01-21,19:33:11,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,1,21,31.0,51.9,150.4,260,20,13,124.28571428571429,125.64285714285714,4,0.3534446712740877,0.9354554315134164,13.0,90.0,68.0,158.0,142.0,0,20,166
2022-01-22,11:55:43,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,1,22,29.0,37.7,146.4,246,16,260,151.71428571428572,135.07142857142858,5,0.3694836834473831,0.9292372181882051,260.0,13.0,90.0,54.0,114.0,0,21,165
2022-01-23,18:07:48,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,1,23,29.5,48.5,148.2,123,10,246,151.0,136.14285714285714,6,0.38541335945432564,0.9227440286201427,246.0,260.0,13.0,128.0,108.0,0,22,164
2022-01-24,18:59:00,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,1,24,28.4,50.8,130.5,18,3,123,116.85714285714286,124.42857142857143,0,0.4012289854475009,0.9159777842484877,123.0,246.0,260.0,257.0,182.0,0,23,163
2022-01-25,10:41:54,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,1,25,30.6,47.9,135.4,275,17,18,146.42857142857142,136.0,1,0.4169258813287287,0.908940487313808,18.0,123.0,246.0,68.0,113.0,0,24,162
2022-01-26,13:14:14,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,1,26,26.4,56.7,127.4,142,11,275,153.85714285714286,136.35714285714286,2,0.4324994021339788,0.901634220265486,275.0,18.0,123.0,90.0,137.0,0,25,161
2022-01-27,19:38:19,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,1,27,29.8,35.9,134.7,56,3,142,160.0,134.85714285714286,3,0.44794493940789115,0.8940611451454876,142.0,275.0,18.0,13.0,77.0,0,26,160
2022-01-28,11:13:20,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,1,28,27.5,40.4,146.1,279,14,56,162.71428571428572,143.5,4,0.4632579225674917,0.88622350294858,56.0,142.0,275.0,260.0,158.0,0,27,159
2022-01-29,19:45:51,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,1,29,29.2,57.7,150.5,25,2,279,131.14285714285714,141.42857142857142,5,0.4784338202547012,0.8781236129591848,279.0,56.0,142.0,246.0,54.0,0,28,158
2022-01-30,11:49:12,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,1,30,27.4,43.5,146.8,119,9,25,130.57142857142858,140.78571428571428,6,0.49346814167723735,0.8697638720650646,25.0,279.0,56.0,123.0,128.0,0,29,157
2022-01-31,19:28:52,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,1,31,26.5,43.8,129.7,95,5,119,141.57142857142858,129.21428571428572,0,0.5083564379375122,0.8611467540480452,119.0,25.0,279.0,18.0,257.0,0,30,156
2022-02-01,19:28:17,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,2,32,28.3,52.1,133.7,79,3,95,113.57142857142857,130.0,1,0.5230943033491326,0.8522748088519838,95.0,119.0,25.0,275.0,68.0,0,31,155
2022-02-02,10:36:30,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,2,33,30.9,41.6,139.5,37,0,79,98.57142857142857,126.21428571428571,2,0.5376773767406141,0.8431506618282,79.0,95.0,119.0,142.0,90.0,0,32,154
2022-02-03,21:28:35,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,2,34,24.2,56.5,126.1,65,1,37,99.85714285714286,129.92857142857142,3,0.5521013427459208,0.8337770129585915,37.0,79.0,95.0,56.0,13.0,0,33,153
2022-02-04,11:09:48,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,2,35,28.1,59.0,150.8,343,17,65,109.0,135.85714285714286,4,0.5663619330814524,0.8241566360566663,65.0,37.0,79.0,279.0,260.0,0,34,152
2022-02-05,12:05:55,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,2,36,26.7,41.2,147.8,117,7,343,122.14285714285714,126.64285714285714,5,0.580454927809098,0.8142923779467267,343.0,65.0,37.0,25.0,246.0,0,35,151
2022-02-06,12:21:02,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,2,37,26.6,45.9,148.1,121,8,117,122.42857142857143,126.5,6,0.5943761565849831,0.804187157621448,117.0,343.0,65.0,119.0,123.0,0,36,150
2022-02-07,03:05:16,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,2,38,28.2,50.7,135.9,312,21,121,153.42857142857142,147.5,0,0.6081214998935418,0.7938439653781019,121.0,117.0,343.0,95.0,18.0,0,37,149
2022-02-08,21:41:46,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,2,39,28.5,55.4,136.9,175,7,312,167.14285714285714,140.35714285714286,1,0.6216868902665479,0.7832658619336791,312.0,121.0,117.0,79.0,275.0,0,38,148
2022-02-09,13:15:48,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,2,40,27.8,39.0,136.0,73,5,175,172.28571428571428,135.42857142857142,2,0.6350683134867438,0.7724559775191742,175.0,312.0,121.0,37.0,142.0,0,39,147
2022-02-10,01:50:06,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,2,41,29.7,38.2,140.2,114,3,73,179.28571428571428,139.57142857142858,3,0.6482618097757122,0.7614175109532997,73.0,175.0,312.0,65.0,56.0,0,40,146
2022-02-11,13:48:53,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,2,42,23.6,46.6,143.2,120,8,114,147.42857142857142,128.21428571428572,4,0.6612634749656386,0.7501537286959042,114.0,73.0,175.0,343.0,279.0,0,41,145
2022-02-12,20:16:52,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,2,43,25.9,40.3,149.0,152,7,120,152.42857142857142,137.28571428571428,5,0.6740694616546161,0.7386679638813748,120.0,114.0,73.0,117.0,25.0,0,42,144
2022-02-13,12:55:36,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,2,44,28.4,47.2,155.3,13,0,152,137.0,129.71428571428572,6,0.6866759803451553,0.726963615332308,152.0,120.0,114.0,121.0,119.0,0,43,143
2022-02-14,18:27:25,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,2,45,27.1,42.4,136.1,30,2,13,96.71428571428571,125.07142857142857,0,0.6990793005655562,0.7150441465537444,13.0,152.0,120.0,312.0,95.0,0,44,142
2022-02-15,21:11:02,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,2,46,20.2,40.9,121.7,132,6,30,90.57142857142857,128.85714285714286,1,0.7112757519738152,0.7029130847082615,30.0,13.0,152.0,175.0,79.0,0,45,141
2022-02-16,18:46:54,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,2,47,26.3,43.2,135.1,45,2,132,86.57142857142857,129.42857142857142,2,0.7232617254437388,0.6905740195722294,132.0,30.0,13.0,73.0,37.0,0,46,140
2022-02-17,10:32:35,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,2,48,25.3,45.2,133.4,30,2,45,74.57142857142857,126.92857142857143,3,0.7350336741329412,0.6780306024735382,45.0,132.0,30.0,114.0,65.0,0,47,139
2022-02-18,01:46:04,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,2,49,28.3,36.5,156.9,314,18,30,102.28571428571429,124.85714285714286,4,0.746588114532413,0.6652865452111116,30.0,45.0,132.0,120.0,343.0,0,48,138
2022-02-19,13:52:45,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,2,50,24.2,50.7,147.3,28,2,314,84.57142857142857,118.5,5,0.7579216274973472,0.6523456189565257,314.0,30.0,45.0,152.0,117.0,0,49,137
2022-02-20,12:21:39,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,2,51,24.7,33.3,148.9,136,4,28,102.14285714285714,119.57142857142857,6,0.7690308592589181,0.6392116531380588,28.0,314.0,30.0,13.0,121.0,0,50,136
2022-02-21,21:12:05,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,2,52,24.0,46.7,131.8,43,6,136,104.0,100.35714285714286,0,0.7799125224167177,0.6258885343075018,136.0,28.0,314.0,30.0,312.0,0,51,135
2022-02-22,10:24:03,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,2,53,23.8,50.5,131.6,98,5,43,99.14285714285714,94.85714285714286,1,0.7905633969115482,0.612380204990065,43.0,136.0,28.0,132.0,175.0,0,52,134
2022-02-23,21:21:03,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,2,54,24.2,33.1,132.8,70,1,98,102.71428571428571,94.64285714285714,2,0.8009803309782905,0.5986906625177214,98.0,43.0,136.0,45.0,73.0,0,53,133
2022-02-24,13:54:11,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,2,55,24.0,31.4,132.6,89,5,70,111.14285714285714,92.85714285714286,3,0.8111602420785621,0.5848239578463322,70.0,98.0,43.0,30.0,114.0,0,54,132
2022-02-25,10:05:05,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,2,56,24.4,41.6,149.6,258,24,89,103.14285714285714,102.71428571428571,4,0.8211001178128892,0.5707841943569036,89.0,70.0,98.0,314.0,120.0,0,55,131
2022-02-26,13:07:07,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,2,57,27.4,36.5,157.5,127,3,258,117.28571428571429,100.92857142857143,5,0.8307970168121247,0.5565755266413303,258.0,89.0,70.0,28.0,152.0,0,56,130
2022-02-27,12:59:17,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,2,58,27.1,41.7,156.9,112,9,127,113.85714285714286,108.0,6,0.8402480696078469,0.5422021592729844,127.0,258.0,89.0,136.0,13.0,0,57,129
2022-02-28,10:28:33,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,2,59,23.6,48.3,132.7,63,4,112,116.71428571428571,110.35714285714286,0,0.8494504794814806,0.527668345562516,112.0,127.0,258.0,43.0,30.0,0,58,128
2022-03-01,10:47:13,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,3,60,23.3,40.0,132.2,79,7,63,114.0,106.57142857142857,1,0.8584015232918917,0.512978386299228,63.0,112.0,127.0,98.0,132.0,0,59,127
2022-03-02,18:34:16,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,3,61,23.5,55.0,133.0,188,15,79,130.85714285714286,116.78571428571429,2,0.8670985522812081,0.4981366284784055,79.0,63.0,112.0,70.0,45.0,0,60,126
2022-03-03,12:19:06,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,3,62,26.6,49.3,140.1,271,14,188,156.85714285714286,134.0,3,0.8755389928586302,0.4831474640149687,188.0,79.0,63.0,89.0,30.0,0,61,125
2022-03-04,18:43:48,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,3,63,23.9,42.6,150.4,254,9,271,156.28571428571428,129.71428571428572,4,0.8837203473619977,0.4680153284438345,271.0,188.0,79.0,258.0,314.0,0,62,124
2022-03-05,10:40:04,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,3,64,25.4,40.0,154.4,97,6,254,152.0,134.64285714285714,5,0.8916401947968874,0.45274469960737107,254.0,271.0,188.0,127.0,28.0,0,63,123
2022-03-06,12:36:15,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,3,65,28.4,32.4,162.0,68,4,97,145.71428571428572,129.78571428571428,6,0.8992961915530253,0.4373400963303323,97.0,254.0,271.0,112.0,136.0,0,64,122
2022-03-07,12:50:09,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,3,66,25.1,39.3,137.5,144,3,68,157.28571428571428,137.0,0,0.9066860720977985,0.4218060770826634,68.0,97.0,254.0,63.0,43.0,0,65,121
2022-03-08,21:15:57,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,3,67,27.0,53.0,142.0,46,2,144,152.57142857142858,133.28571428571428,1,0.9138076496466615,0.40614723863057883,144.0,68.0,97.0,79.0,98.0,0,66,120
2022-03-09,20:27:44,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,3,68,21.8,36.3,130.6,38,5,46,131.14285714285714,131.0,2,0.9206588168102428,0.3903682146763026,46.0,144.0,68.0,188.0,70.0,0,67,119
2022-03-10,10:58:28,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,3,69,25.2,38.8,138.4,113,3,38,108.57142857142857,132.71428571428572,3,0.9272375462179537,0.374473674486883,38.0,46.0,144.0,271.0,89.0,0,68,118
2022-03-11,23:08:01,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,3,70,26.6,43.4,158.6,204,12,113,101.42857142857143,128.85714285714286,4,0.9335418911179212,0.35846832151248087,113.0,38.0,46.0,254.0,258.0,0,69,117
2022-03-12,21:53:19,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,3,71,24.2,35.1,152.7,272,14,204,126.42857142857143,139.21428571428572,5,0.9395699859530622,0.342356891994542,204.0,113.0,38.0,97.0,127.0,0,70,116
2022-03-13,18:27:19,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,3,72,24.0,24.8,152.4,102,6,272,131.28571428571428,138.5,6,0.945320046913132,0.3261441535642696,272.0,204.0,113.0,68.0,112.0,0,71,115
2022-03-14,22:33:52,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,3,73,26.1,49.7,141.1,180,8,102,136.42857142857142,146.85714285714286,0,0.9507903724625832,0.3098349038318025,102.0,272.0,204.0,144.0,63.0,0,72,114
2022-03-15,18:15:00,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,3,74,22.9,33.9,133.9,32,0,180,134.42857142857142,143.5,1,0.9559793438440766,0.2934339689665273,180.0,102.0,272.0,46.0,79.0,0,73,113
2022-03-16,20:40:35,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,3,75,24.7,38.3,138.2,131,7,32,147.71428571428572,139.42857142857142,2,0.9608854255574977,0.27694620226893646,32.0,180.0,102.0,38.0,188.0,0,74,112
2022-03-17,11:18:56,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,3,76,24.1,44.8,136.8,118,7,131,148.42857142857142,128.5,3,0.9655071658143364,0.2603764827344581,131.0,32.0,180.0,113.0,271.0,0,75,111
2022-03-18,19:50:48,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,3,77,26.5,38.8,159.5,133,7,118,138.28571428571428,119.85714285714286,4,0.969843196967294,0.24372971360968387,118.0,131.0,32.0,204.0,254.0,0,76,110
2022-03-19,11:29:08,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,3,78,21.5,49.5,147.1,25,0,133,103.0,114.71428571428571,5,0.9738922359149924,0.22701082094141847,133.0,118.0,131.0,272.0,97.0,0,77,109
2022-03-20,20:43:15,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,3,79,27.3,33.3,161.9,90,7,25,101.28571428571429,116.28571428571429,6,0.9776530844816641,0.2102247521189836,25.0,133.0,118.0,102.0,68.0,0,78,108
2022-03-21,12:08:02,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,3,80,25.7,40.0,140.9,175,10,90,100.57142857142857,118.5,0,0.981124629771712,0.19337647441020586,90.0,25.0,133.0,180.0,144.0,0,79,107
2022-03-22,11:26:06,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,3,81,22.4,40.3,133.6,94,4,175,109.42857142857143,121.92857142857143,1,0.984305844499033,0.17647097349152166,175.0,90.0,25.0,32.0,46.0,0,80,106
2022-03-23,18:23:54,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,3,82,26.3,48.6,142.4,33,1,94,95.42857142857143,121.57142857142857,2,0.9871957872910085,0.15951325197263655,94.0,175.0,90.0,131.0,38.0,0,81,105
2022-03-24,21:54:45,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,3,83,18.7,45.0,125.2,210,10,33,108.57142857142857,128.5,3,0.9897936029670716,0.14250832791617088,33.0,94.0,175.0,118.0,113.0,0,82,104
2022-03-25,13:24:14,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,3,84,24.7,41.3,155.6,235,14,210,123.14285714285714,130.71428571428572,4,0.992098522791769,0.12546123335273648,210.0,33.0,94.0,133.0,204.0,0,83,103
2022-03-26,04:49:01,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,3,85,21.9,37.8,148.7,72,4,235,129.85714285714286,116.42857142857143,5,0.9941098647022418,0.10837701279187609,235.0,210.0,33.0,25.0,272.0,0,84,102
2022-03-27,13:51:11,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,3,86,18.7,44.6,140.4,88,5,72,129.57142857142858,115.42857142857143,6,0.9958270335100595,0.09126072172931188,72.0,235.0,210.0,90.0,102.0,0,85,101
2022-03-28,11:38:56,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,3,87,20.4,32.0,129.4,169,5,88,128.71428571428572,114.64285714285714,0,0.9972495210773451,0.07411742515094437,88.0,72.0,235.0,175.0,180.0,0,86,100
2022-03-29,20:53:39,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,3,88,19.8,39.8,128.0,291,13,169,156.85714285714286,133.14285714285714,1,0.998376906467142,0.056952196034039754,169.0,88.0,72.0,94.0,32.0,0,87,99
2022-03-30,21:30:59,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,3,89,21.4,43.7,131.6,81,3,291,163.71428571428572,129.57142857142858,2,0.9992088560679753,0.03977011384605572,291.0,169.0,88.0,33.0,131.0,0,88,98
2022-03-31,18:56:40,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,3,90,21.6,29.4,132.1,73,4,81,144.14285714285714,126.35714285714286,3,0.9997451236925734,0.022576263041545485,81.0,291.0,169.0,210.0,118.0,0,89,97
2022-04-01,11:02:37,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,4,91,20.7,37.2,145.8,36,4,73,115.71428571428571,119.42857142857143,4,0.9999855506507186,0.005375731557583884,73.0,81.0,291.0,235.0,133.0,0,90,96
2022-04-02,13:57:19,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,4,92,17.3,38.4,137.1,30,1,36,109.71428571428571,119.78571428571429,5,0.9999300657962057,-0.011826390691832589,36.0,73.0,81.0,72.0,25.0,0,91,95
2022-04-03,13:29:15,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,4,93,21.1,31.6,146.7,138,5,30,116.85714285714286,123.21428571428571,6,0.9995786855478958,-0.029025013321975237,30.0,36.0,73.0,88.0,90.0,0,92,94
2022-04-04,11:24:19,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,4,94,23.0,29.1,135.4,56,2,138,100.71428571428571,114.71428571428571,0,0.9989315138848577,-0.046215046983708354,138.0,30.0,36.0,169.0,175.0,0,93,93
2022-04-05,21:49:39,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,4,95,19.6,44.2,127.7,28,1,56,63.142857142857146,110.0,1,0.9979887423155984,-0.06339140486951038,56.0,138.0,30.0,291.0,94.0,0,94,92
2022-04-06,10:55:41,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,4,96,23.5,44.9,136.3,97,3,28,65.42857142857143,114.57142857142857,2,0.9967506498213929,-0.08054900421874167,28.0,56.0,138.0,81.0,33.0,0,95,91
2022-04-07,18:48:36,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,4,97,22.3,41.0,133.6,89,4,97,67.71428571428571,105.92857142857143,3,0.9952176027737294,-0.09768276782171598,97.0,28.0,56.0,73.0,210.0,0,96,90
2022-04-08,19:24:02,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,4,98,24.0,25.0,153.8,250,18,89,98.28571428571429,107.0,4,0.9933900548258936,-0.11478762552212701,89.0,97.0,28.0,36.0,235.0,0,97,89
2022-04-09,13:17:09,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,4,99,22.1,35.6,149.1,89,6,250,106.71428571428571,108.21428571428571,5,0.9912685467787256,-0.13185851571739118,250.0,89.0,97.0,30.0,72.0,0,98,88
2022-04-10,11:44:17,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,4,100,20.2,37.2,144.1,219,14,89,118.28571428571429,117.57142857142857,6,0.9888537064205885,-0.1488903868564548,89.0,250.0,89.0,138.0,88.0,0,99,87
2022-04-11,11:47:33,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,4,101,21.5,34.6,131.5,252,17,219,146.28571428571428,123.5,0,0.986146248341595,-0.16587819893463143,219.0,89.0,250.0,56.0,169.0,0,100,86
2022-04-12,13:33:34,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,4,102,20.8,33.0,130.0,133,5,252,161.28571428571428,112.21428571428571,1,0.9831469737221499,-0.1828169249850199,252.0,219.0,89.0,28.0,291.0,0,101,85
2022-04-13,20:48:50,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,4,103,25.1,35.6,139.5,39,4,133,153.0,109.21428571428571,2,0.9798567700958665,-0.1997015525660636,133.0,252.0,219.0,97.0,81.0,0,102,84
2022-04-14,11:02:12,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,4,104,21.2,41.7,130.6,242,6,39,174.85714285714286,121.28571428571429,3,0.9762766110869321,-0.21652708524481437,39.0,133.0,252.0,89.0,73.0,0,103,83
2022-04-15,20:14:43,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,4,105,21.9,19.6,147.9,58,3,242,147.42857142857142,122.85714285714286,4,0.9724075561219968,-0.23328854407545518,242.0,39.0,133.0,250.0,36.0,0,104,82
2022-04-16,13:53:57,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,4,106,20.4,42.1,144.0,145,12,58,155.42857142857142,131.07142857142858,5,0.9682507501166718,-0.2499809690726521,58.0,242.0,39.0,89.0,30.0,0,105,81
